Артикул;Номенклатура;Тип;Ед;Дополнительное описание номенклатуры;Картинка;Цена
;Pilot-230 20".14 Girl;товар;шт;6-ск, рама  AL (280мм), SHIMANO SL-RS36/RD-TY21, двойные AL обода, AL тормоза V-типа, короткие стальные крылья, защита заднего переключателя, звонок;;14485
;Pilot-230 Gent 20";товар;шт;6-ск, рама  AL (11"), SHIMANO SL-RS36/RD-TY21, двойные AL обода, AL тормоза, стальные крылья, звонок;;13815
;Pilot-230 Lady 20" (новый дизайн);товар;шт;6-ск, рама AL (11"), двойные AL обода,алюм. тормоз, крылья из стали, звонок, багажник;;14485
;Pilot-230.12 Girl;товар;шт;20"  6-ск., SHIMANO RD-TY18/SL-RS35, AL рама, аморт. вилка, AL обода, короткие стальные крылья, AL тормоза V-типа, звонок;;11780
;Pilot-240 20".14 Girl;товар;шт;6-ск, рама  AL (280мм), SHIMANO SL-RS36/RD-TY22/MF-TZ20,  аморт. вилка SR SUNTOUR, AL обода, AL тормоза V-типа, длинные AL крылья, комфортное седло, защита зад. перекл., поддерживающие колеса, звонок;;13545
;Pilot-240 Gent 20";товар;шт;12-ск, рама  AL (11"), SHIMANO MF-TZ20/FD-M190/RD-TY21/SL-RS35, вилка SR SUNTOUR, AL обода, AL тормоза,стальные крылья,звонок;;15715
;Pilot-240 Lady 20" 1-sp (новый дизайн);товар;шт;1-ск, рама  AL (11"), стальная вилка, AL обода, AL тормоза, стальные крылья, звонок;;13815
;Pilot-240 Lady 20" 3-sp (новый дизайн);товар;шт;3-ск, рама  AL (11"), SHIMANO, стальная вилка, AL обода, AL тормоза, стальные крылья, звонок;;16110
;Pilot-240.12 Girl;товар;шт;20"  6-ск., SHIMANO RD-TY22/SL-RS35, AL рама, AL обода, аморт. вилка, короткие AL крылья, AL тормоза V-типа, доп. колеса, звонок;;13270
;Pilot-250 20";товар;шт;6-ск, рама  STEEL (13"), аморт. вилка ZOOM, SHIMANO SL-RS36/RD-TY21, двойные AL обода, тормоза V-типа POWER, пластиковые крылья, рога;;13545
